Genesis, Poul Anderson
Look to Windward, Iain M. Banks
Candle, John Barnes
Manifold: Space, Stephen Baxter
Eater, Gregory Benford
The Memory of Fire, George Foy
Hunted, James Alan Gardner
Crescent City Rhapsody, Kathleen Ann Goonan
The Coming, Joe Haldeman
Midnight Robber, Nalo Hopkinson
Probability Moon, Nancy Kress
The Telling, Ursula K. Le Guin
The Sky Road, Ken MacLeod
Colony Fleet, Susan R. Matthews
Shrine of Stars, Paul J. McAuley
The Collapsium, Wil McCarthy
The Miocene Arrow, Sean McMullen
Distance Haze, Jamil Nasir
Outlaw School, Rebecca Ore
Marrow, Robert Reed
Ventus, Karl Schroeder
The Jazz, Melissa Scott
The Fountains of Youth, Brian Stableford
Zeitgeist, Bruce Sterling
The Fresco, Sheri S. Tepper
In Green's Jungles, Gene Wolfe
Canyons, P.D. Cacek
Fortress of Dragons, C.J. Cherryh
Crown of Silence, Storm Constantine
Daemonomania, John Crowley
Forests of the Heart, Charles de Lint
Deadhouse Gates, Steven Erikson
Ash: A Secret History, Mary Gentle
Knight of the Demon Queen, Barbara Hambly
A Kiss of Shadows, Laurell K. Hamilton
The Gate of Fire, Thomas Harlan
Prophecy, Elizabeth Haydon
Ship of Destiny, Robin Hobb
The Angel and the Sword, Cecelia Holland
The Black Chalice, Marie Jakober
Year of the Griffin, Diana Wynne Jones
Winter's Heart, Robert Jordan
Lord of Emperors, Guy Gavriel Kay
Empire of Unreason, J. Gregory Keyes
King Kelson's Bride, Katherine Kurtz
White as Snow, Tanith Lee
The Riddled Night, Valery Leith
The Glass Harmonica, Louise Marley
A Storm of Swords, George R.R. Martin
The Tower at Stony Wood, Patricia A. McKillip
Spindle's End, Robin McKinley
Perdido Street Station, China Miéville
Declare, Tim Powers
The Truth, Terry Pratchett
His Dark Materials Book III: The Amber Spyglass, Philip Pullman
Plumage, Nancy Springer
Galveston, Sean Stewart
The Grand Ellipse, Paula Volsky
Fire Bringer, David Clement-Davies
House of Leaves, Mark Z. Danielewski
Ceres Storm, David Herter
The Princess of Dhagabad: Book 1: The Spirits of the Ancient Sands, Anna Kashina
The Glasswright's Apprentice, Mindy L. Klasky
Mars Crossing, Geoffrey A. Landis
Daughter of the Forest, Juliet Marillier
The Wind Singer, William Nicholson
Revelation Space, Alastair Reynolds
Salt, Adam Roberts
Soulsaver, James Stevens-Arce
Wheelers, Ian Stewart & Jack Cohen
The King's Peace, Jo Walton
Growing Wings, Laurel Winter
