Dark Light, Ken MacLeod
A Paradigm of Earth, Candas Jane Dorsey
Whole Wide World, Paul McAuley
Nekropolis, Maureen F. McHugh
Look to Windward, Iain M. Banks
Origin: Manifold 3, Stephen Baxter
Manifold: Space, Stephen Baxter
The Pickup Artist, Terry Bisson
Dervish is Digital, Pat Cadigan
Shadow of the Hegemon, Orson Scott Card
Appleseed, John Clute
Metaplanetary, Tony Daniel
Dreamcatcher, Stephen King
Probability Sun, Nancy Kress
Cosmonaut Keep, Ken MacLeod
The Secret of Life, Paul McAuley
Eyes of the Calculor, Sean McMullen
Chasm City, Alastair Reynolds
Revelation Space, Alastair Reynolds
The Cassandra Complex, Brian Stableford
Maelstrom, Peter Watts
Terraforming Earth, Jack Williamson
Passage, Connie Willis
The Chronoliths, Robert Charles Wilson
Return to the Whorl, Gene Wolfe
City of Saints and Madmen, Jeff VanderMeer
Coldheart Canyon, Clive Barker
From the Dust Returned, Ray Bradbury
Black House, Stephen King & Peter Straub
The Other Wind, Ursula K. Le Guin
The Curse of Chalion, Lois McMaster Bujold
Kushiel's Dart, Jacqueline Carey
The Wooden Sea, Jonathan Carroll
The Eyre Affair, Jasper Fforde
The Beyond, Jeffrey Ford
Sister Noon, Karen Joy Fowler
American Gods, Neil Gaiman
Past the Size of Dreaming, Nina Kiriki Hoffman
Bold as Love, Gwyneth Jones
Perdido Street Station, China Miéville
The Dreamthief's Daughter, Michael Moorcock
Declare, Tim Powers
Thief of Time, Terry Pratchett
The One Kingdom, Sean Russell
Lust, Geoff Ryman
Otherland: Sea of Silver Light, Tad Williams
