The Skinner, Neal Asher
The Sky So Big and Black, John Barnes
Lion's Blood, Steven Barnes
Evolution, Stephen Baxter
Vitals, Greg Bear
Kiln People, David Brin
Transcension, Damien Broderick
Shadow Puppets, Orson Scott Card
Schild's Ladder, Greg Egan
The Mount, Carol Emshwiller
Light Music, Kathleen Ann Goonan
Effendi: The Second Arabesk, Jon Courtenay Grimwood
Guardian, Joe Haldeman
Light, M. John Harrison
Probability Space, Nancy Kress
Engine City, Ken MacLeod
The Devil and Deep Space, Susan R. Matthews
Chindi, Jack McDevitt
The Impossible Bird, Patrick O'Leary
The Separation, Christopher Priest
Redemption Ark, Alastair Reynolds
The Years of Rice and Salt, Kim Stanley Robinson
Spaceland, Rudy Rucker
Permanence, Karl Schroeder
The Omega Expedition, Brian Stableford
Coyote, Allen Steele
Bones of the Earth, Michael Swanwick
The Visitor, Sheri S. Tepper
Ruled Britannia, Harry Turtledove
The Praxis, Walter Jon Williams
Kushiel's Chosen, Jacqueline Carey
White Apples, Jonathan Carroll
The Lady of the Sorrows, Cecilia Dart-Thornton
Lost in a Good Book, Jasper Fforde
The Portrait of Mrs. Charbuque, Jeffrey Ford
The Alchemist's Door, Lisa Goldstein
Evening's Empire, David Herter
A Fistful of Sky, Nina Kiriki Hoffman
The Iron Grail, Robert Holdstock
Castles Made of Sand, Gwyneth Jones
The Facts of Life, Graham Joyce
The Fall of the Kings, Ellen Kushner & Delia Sherman
A Bed of Earth, Tanith Lee
Child of the Prophecy, Juliet Marillier
Ombria in Shadow, Patricia A. McKillip
Voyage of the Shadowmoon, Sean McMullen
The Scar, China Miéville
Night Watch, Terry Pratchett
The Isle of Battle, Sean Russell
The Book of Splendor, Frances Sherwood
A Winter Haunting, Dan Simmons
City of the Beasts, Isabel Allende
Feed, M. T. Anderson
Abarat, Clive Barker
Summerland, Michael Chabon
A Wizard Alone, Diane Duane
The House of the Scorpion, Nancy Farmer
The Thief Lord, Cornelia Funk
Coraline, Neil Gaiman
Dr. Franklin's Island, Ann Halam
Stravaganza: City of Masks, Mary Hoffman
Firesong, William Nicholson
Protector of the Small: Lady Knight, Tamora Pierce
The Storm Weaver & the Sand, Sean Williams
The Eye of Night, Pauline J. Alama
Solitaire, Kelley Eskridge
The Summer Country, James A. Hetley
A Scattering of Jades, Alexander C. Irvine
Fires of the Faithful, Naomi Kritzer
Just Like Beauty, Lisa Lerner
Warchild, Karin Lowachee
The God Who Begat a Jackal, Nega Mezlekia
Altered Carbon, Richard Morgan
The Red Church, Scott Nicholson
The Atrocity Archive, Charles Stross
The Golden Age, John C. Wright
