Transcendent, Stephen Baxter
Godplayers, Damien Broderick
Shadow of the Giant, Orson Scott Card
9Tail Fox, Jon Courtenay Grimwood
The Carpet Makers, Andreas Eschbach
Old Twentieth, Joe Haldeman
Never Let Me Go, Kazuo Ishiguro
Learning the World, Ken MacLeod
Mind's Eye, Paul McAuley
To Crush the Moon, Wil McCarthy
Seeker, Jack McDevitt
The Well of Stars, Robert Reed
Pushing Ice, Alastair Reynolds
Fifty Degrees Below, Kim Stanley Robinson
Living Next Door to the God of Love, Justina Robson
The Rosetta Codex, Richard Paul Russo
Lady of Mazes, Karl Schroeder
Olympos, Dan Simmons
Accelerando, Charles Stross
Double Vision, Tricia Sullivan
The World Before, Karen Traviss
Mammoth, John Varley
Spin, Robert Charles Wilson
Tumbling After, Paul Witcover
The Hallowed Hunt, Lois McMaster Bujold
Fledgling, Octavia E. Butler
Glass Soup, Jonathan Carroll
Lord Byron's Novel: The Evening Land, John Crowley
Someone Comes to Town, Someone Leaves Town, Cory Doctorow
Anansi Boys, Neil Gaiman
Shaman's Crossing, Robin Hobb
The Serpent Dreamer, Cecelia Holland
The Narrows, Alexander C. Irvine
Band of Gypsys, Gwyneth Jones
Knife of Dreams, Robert Jordan
The Limits of Enchantment, Graham Joyce
The House of Storms, Ian R. MacLeod
A Feast for Crows, George R.R. Martin
Od Magic, Patricia A. McKillip
A Princess of Roumania, Paul Park
Thud!, Terry Pratchett
The Hidden Family, Charles Stross
Snake Agent, Liz Williams
Orphans of Chaos, John C. Wright
Hammered/Scardown/Worldwired, Elizabeth Bear
Bear Daughter, Judith Berman
Vellum, Hal Duncan
The Prodigal Troll, Charles Coleman Finlay
Fly by Night, Frances Hardinge
Rocket Science, Jay Lake
Magic or Madness, Justine Larbalestier
Counting Heads, David Marusek
Mélusine, Sarah Monette
Zahrah the Windseeker, Nnedi Okorafor-Mbachu
The Strange Adventures of Rangergirl, Tim Pratt
Old Man's War, John Scalzi
Poison Study, Maria V. Snyder
Singer of Souls, Adam Stemple
Spotted Lily, Anna Tambour
Valiant, Holly Black
The Sledding Hill, Chris Crutcher
Mister Boots, Carol Emshwiller
Inkspell, Cornelia Funke
Stravaganza: City of Flowers, Mary Hoffman
Conrad's Fate, Diana Wynne Jones
TWOC, Graham Joyce
The Flowing Queen, Kai Meyer
Skybreaker, Kenneth Oppel
Ptolemy's Gate, Jonathan Stroud
Midnighters Vol. 2: Touching Darkness, Scott Westerfeld
Peeps, Scott Westerfeld
Pay the Piper: A Rock 'n' Roll Fairy Tale, Jane Yolen & Adam Stemple
