Polity Agent, Neal Asher
The Armies of Memory, John Barnes
Emperor, Stephen Baxter
Carnival, Elizabeth Bear
Idolon, Mark Budz
Babylon, Richard Calder
End of the World Blues, Jon Courtenay Grimwood
Eifelheim, Michael Flynn
Nova Swing, M. John Harrison
The Road, Cormac McCarthy
Against the Day, Thomas Pynchon
Keeping It Real, Justina Robson
Horizons, Mary Rosenblum
Mathematicians in Love, Rudy Rucker
Sun of Suns, Karl Schroeder
The Clan Corporate, Charles Stross
Glasshouse, Charles Stross
Matriarch, Karen Traviss
Rainbows End, Vernor Vinge
Farthing, Jo Walton
Blindsight, Peter Watts
The Thousandfold Thought, R. Scott Bakker
The Brief History of the Dead, Kevin Brockmeier
Ilario, Mary Gentle
Forest Mage, Robin Hobb
Majestrum, Matthew Hughes
The Blood Knight, Greg Keyes
Lisey's Story, Stephen King
The Privilege of the Sword, Ellen Kushner
Trial of Flowers, Jay Lake
Solstice Wood, Patricia A. McKillip
The Virtu, Sarah Monette
The Vengeance of Rome, Michael Moorcock
The Last Witchfinder, James Morrow
The Tourmaline, Paul Park
Three Days to Never, Tim Powers
The Jennifer Morgue, Charles Stross
Shriek: An Afterword, Jeff VanderMeer
The Demon and the City, Liz Williams
Soldier of Sidon, Gene Wolfe
Fugitives of Chaos, John C. Wright
The Blade Itself, Joe Abercrombie
A Shadow in Summer, Daniel Abraham
The Patron Saint of Plagues, Barth Anderson
Crystal Rain, Tobias S. Buckell
Scar Night, Alan Campbell
The Glass Books of the Dream Eaters, Gordon Dahlquist
The Stolen Child, Keith Donohue
The Green Glass Sea, Ellen Klages
The Lies of Locke Lamora, Scott Lynch
His Majesty's Dragon, Naomi Novik
Throne of Jade, Naomi Novik
Black Powder War, Naomi Novik
The Burning Girl, Holly Phillips
Summer of the Apocalypse, James Van Pelt
Spirits That Walk in Shadow, Nina Kiriki Hoffman
The Pinhoe Egg, Diana Wynne Jones
Do the Creepy Thing, Graham Joyce
Magic Lessons, Justine Larbalestier
Voices, Ursula K. Le Guin
Sir Thursday, Garth Nix
Wintersmith, Terry Pratchett
A Darkling Plain, Philip Reeve
The Last Days, Scott Westerfeld
Blue Noon, Scott Westerfeld
Specials, Scott Westerfeld
