Harm, Brian W. Aldiss
The Sons of Heaven, Kage Baker
Conqueror, Stephen Baxter
Undertow, Elizabeth Bear
Till Human Voices Wake Us, Mark Budz
The Yiddish Policemen's Union, Michael Chabon
Spook Country, William Gibson
In War Times, Kathleen Ann Goonan
The Accidental Time Machine, Joe Haldeman
Mainspring, Jay Lake
The Execution Channel, Ken MacLeod
Brasyl, Ian McDonald
Black Man, Richard Morgan
Shelter, Susan Palwick
Devices and Desires, K. J. Parker
Evil for Evil, K. J. Parker
The Escapement, K. J. Parker
The Prefect, Alastair Reynolds
Sixty Days and Counting, Kim Stanley Robinson
Bad Monkeys, Matt Ruff
Queen of Candesce, Karl Schroeder
Halting State, Charles Stross
Ha'Penny, Jo Walton
Axis, Robert Charles Wilson
A Betrayal in Winter, Daniel Abraham
Whiskey and Water, Elizabeth Bear
Territory, Emma Bull
Endless Things, John Crowley
Ink, Hal Duncan
The New Moon's Arms, Nalo Hopkinson
The Spiral Labyrinth, Matthew Hughes
Ysabel, Guy Gavriel Kay
Daughter of Hounds, Caitlín R. Kiernan
Bone Song, John Meaney
The White Tyger, Paul Park
Making Money, Terry Pratchett
Blood Engines, T. A. Pratt
The Secret History of Moscow, Ekaterina Sedia
softspoken, Lucius Shepard
The Orphan's Tales: In the Cities of Coin and Spice, Catherynne M. Valente
Pirate Freedom, Gene Wolfe
Titans of Chaos, John C. Wright
Grey, Jon Armstrong
One for Sorrow, Christopher Barzak
The Sword-Edged Blonde, Alex Bledsoe
City of Bones, Cassandra Clare
Breakfast with the One You Love, Eliot Fintushel
Heart-Shaped Box, Joe Hill
Wicked Lovely, Melissa Marr
Maledicte, Lane Robins
The Name of the Wind, Patrick Rothfuss
Flora Segunda, Ysabeau S. Wilce
The H-Bomb Girl, Stephen Baxter
Ironside, Holly Black
Skin Hunger, Kathleen Duey
Book of a Thousand Days, Shannon Hale
Verdigris Deep, Frances Hardinge
The Dream Quake, Elizabeth Knox
Magic's Child, Justine Larbalestier
Powers, Ursula K. Le Guin
Un Lun Dun, China Miéville
The Shadow Speaker, Nnedi Okorafor-Mbachu
Extras, Scott Westerfeld
