Matter, Iain M. Banks
Flood, Stephen Baxter
Weaver, Stephen Baxter
City at the End of Time, Greg Bear
Incandescence, Greg Egan
January Dancer, Michael Flynn
Marsbound, Joe Haldeman
Spirit, Gwyneth Jones
Escapement, Jay Lake
Song of Time, Ian R. MacLeod
The Night Sessions, Ken MacLeod
The Quiet War, Paul McAuley
The Company, K. J. Parker
House of Suns, Alastair Reynolds
Pirate Sun, Karl Schroeder
Anathem, Neal Stephenson
Saturn's Children, Charles Stross
Rolling Thunder, John Varley
Half a Crown, Jo Walton
Implied Spaces, Walter Jon Williams
An Autumn War, Daniel Abraham
The Love We Share Without Knowing, Christopher Barzak
The Knights of the Cornerstone, James P. Blaylock
The Ghost in Love, Jonathan Carroll
The Island of Eternal Love, Daina Chaviano
The Shadow Year, Jeffrey Ford
Shadowbridge, Gregory Frost
Lord Tophet, Gregory Frost
The Memoirs of a Master Forger, William Heaney
Varanger, Cecelia Holland
Lavinia, Ursula K. Le Guin
The Bell at Sealey Head, Patricia A. McKillip
The Hidden World, Paul Park
The Engine's Child, Holly Phillips
The Enchantress of Florence, Salman Rushdie
The Alchemy of Stone, Ekaterina Sedia
The Dragons of Babel, Michael Swanwick
An Evil Guest, Gene Wolfe
The Ninth Circle, Alex Bell
The Painted Man, Peter V. Brett
A Curse as Dark as Gold, Elizabeth C. Bunce
Graceling, Kristin Cashore
Alive in Necropolis, Doug Dorst
Thunderer, Felix Gilman
Black Ships, Jo Graham
Pandemonium, Daryl Gregory
The Gone-Away World, Nick Harkaway
Last Dragon, J.T. McDermott
Singularity's Ring, Paul Melko
The Long Look, Richard Parks
The Red Wolf Conspiracy, Robert V. S. Redick
The Cabinet of Wonders, Marie Rutkoski
City of Ashes, Cassandra Clare
The Hunger Games, Suzanne Collins
Monster Blood Tattoo, Book Two: Lamplighter, D. M. Cornish
Little Brother, Cory Doctorow
The Graveyard Book, Neil Gaiman
Eon: Dragoneye Reborn, Alison Goodman
Tender Morsels, Margo Lanagan
How to Ditch Your Fairy, Justine Larbalestier
Ink Exchange, Melissa Marr
Chalice, Robin McKinley
The Knife of Never Letting Go, Patrick Ness
The Adoration of Jenna Fox, Mary E. Pearson
Nation, Terry Pratchett
Zoe's Tale, John Scalzi
Flora's Dare, Ysabeau S. Wilce
