The Empress of Mars, Kage Baker
Transition, Iain M. Banks
Ark, Stephen Baxter
The Devil's Alphabet, Daryl Gregory
Buyout, Alexander C. Irvine
Under the Dome, Stephen King
Steal Across the Sky, Nancy Kress
Chronic City, Jonathan Lethem
Gardens of the Sun, Paul McAuley
The Walls of the Universe, Paul Melko
Boneshaker, Cherie Priest
Yellow Blue Tibia, Adam Roberts
Galileo's Dream, Kim Stanley Robinson
The Sunless Countries, Karl Schroeder
This Is Not a Game, Walter Jon Williams
Julian Comstock, Robert Charles Wilson
The Price of Spring, Daniel Abraham
Last Days, Brian Evenson
Dragon in Chains, Daniel Fox
Gears of the City, Felix Gilman
Cloud & Ashes: Three Winter's Tales, Greer Gilman
Avilion, Robert Holdstock
The High City, Cecelia Holland
The Red Tree, Caitlín R. Kiernan
Green, Jay Lake
Madness of Flowers, Jay Lake
Audrey's Door, Sarah Langan
The City & The City, China Miéville
Unseen Academicals, Terry Pratchett
Spell Games, T.A. Pratt
Canticle, Ken Scholes
Drood, Dan Simmons
The Revolution Business, Charles Stross
Palimpsest, Catherynne M. Valente
Finch, Jeff VanderMeer
Lifelode, Jo Walton
The Painting and the City, Robert Freeman Wexler
In Great Waters, Kit Whitfield
The Hotel Under the Sand, Kage Baker
Going Bovine, Libba Bray
Catching Fire, Suzanne Collins
Sacred Scars, Kathleen Duey
Gullstruck Island, Frances Hardinge
Liar, Justine Larbalestier
The Ask and the Answer, Patrick Ness
Heroes of the Valley, Jonathan Stroud
Leviathan, Scott Westerfeld
The Windup Girl, Paolo Bacigalupi
The Manual of Detection, Jedediah Berry
Soulless, Gail Carriger
The Adamantine Palace, Stephen Deas
Total Oblivion, More or Less, Alan DeNiro
Blood of Ambrose, James Enge
Ash, Malinda Lo
Rosemary and Rue, Seanan McGuire
Lamentation, Ken Scholes
Harbinger, Jack Skillingstead
Spellbent, Lucy A. Snyder
Living with Ghosts, Kari Sperring
Lightbreaker, Mark Teppo
Norse Code, Greg van Eekhout
