Yarn, Jon Armstrong
Surface Detail, Iain M. Banks
Directive 51, John Barnes
Chill, Elizabeth Bear
Hull Zero Three, Greg Bear
CryoBurn, Lois McMaster Bujold
The Passage, Justin Cronin
Zendegi, Greg Egan
Zero History, William Gibson
Feed, Mira Grant
Starbound, Joe Haldeman
Sleepless, Charlie Huston
Brain Thief, Alexander Jablokov
The Dervish House, Ian McDonald
Terminal World, Alastair Reynolds
Birdbrain, Johanna Sinisalo
Blackout, Connie Willis
All Clear, Connie Willis
The Golden Age, Michal Ajvaz
The Bird of the River, Kage Baker
Zoo City, Lauren Beukes
The Desert Spear, Peter V. Brett
Changeless, Gail Carriger
The Wolf Age, James Enge
Shades of Grey, Jasper Fforde
The Jade Man's Skin, Daniel Fox
The Half-Made World, Felix Gilman
Horns, Joe Hill
Kings of the North, Cecelia Holland
Hespira, Matthew Hughes
Under Heaven, Guy Gavriel Kay
The Bards of Bone Plain, Patricia A. McKillip
Kraken, China Miéville
The Thousand Autumns of Jacob de Zoet, David Mitchell
Who Fears Death, Nnedi Okorafor
The Folding Knife, K. J. Parker
A Matter of Blood, Sarah Pinborough
The House of Discarded Dreams, Ekaterina Sedia
A Dark Matter, Peter Straub
The Fuller Memorandum, Charles Stross
The Habitation of the Blessed, Catherynne M. Valente
The Sorcerer's House, Gene Wolfe
Ship Breaker, Paolo Bacigalupi
The White Cat, Holly Black
Pathfinder, Orson Scott Card
Mockingjay, Suzanne Collins
Factotum, D. M. Cornish
Thresholds, Nina Kiriki Hoffman
Enchanted Glass, Diana Wynne Jones
The Boneshaker, Kate Milford
Monsters of Men, Patrick Ness
Lord Sunday, Garth Nix
I Shall Wear Midnight, Terry Pratchett
Fever Crumb, Philip Reeve
Kid vs. Squid, Greg van Eekhout
Behemoth, Scott Westerfeld
The Loving Dead, Amelia Beamer
Noise, Darin Bradley
Clowns at Midnight, Terry Dowling
A Book of Tongues, Gemma Files
The Native Star, M. K. Hobson
Meeks, Julia Holmes
The Last Page, Anthony Huso
The Hundred Thousand Kingdoms, N. K. Jemisin
Shades of Milk and Honey, Mary Robinette Kowal
Redemption in Indigo, Karen Lord
The Dream of Perpetual Motion, Dexter Palmer
The Quantum Thief, Hannu Rajaniemi
The Bookman, Lavie Tidhar
The Replacement, Brenna Yovanoff
How to Live Safely in a Science Fictional Universe, Charles Yu
