Daybreak Zero, John Barnes
Grail, Elizabeth Bear
Leviathan Wakes, James S. A. Corey
The Clockwork Rocket, Greg Egan
This Shared Dream, Kathleen Ann Goonan
7th Sigma, Steven Gould
Deadline, Mira Grant
Earthbound, Joe Haldeman
11/22/63, Stephen King
Wake Up and Dream, Ian R. MacLeod
Firebird, Jack McDevitt
Embassytown, China Miéville
All the Lives He Led, Frederik Pohl
The Islanders, Christopher Priest
Enigmatic Pilot: A Tall Tale Too True, Kris Saknussemm
Heart of Iron, Ekaterina Sedia
Rule 34, Charles Stross
Dancing With Bears, Michael Swanwick
The Children of the Sky, Vernor Vinge
The Courier's New Bicycle, Kim Westwood
Zone One, Colson Whitehead
Vortex, Robert Charles Wilson
Home Fires, Gene Wolfe
The Heroes, Joe Abercrombie
The Dragon's Path, Daniel Abraham
Heartless, Gail Carriger
The Fallen Blade, Jon Courtenay Grimwood
The Alchemists of Kush, Minister Faust
Hidden Cities, Daniel Fox
The Uncertain Places, Lisa Goldstein
Raising Stony Mayhall, Daryl Gregory
The Magician King, Lev Grossman
Redwood and Wildfire, Andrea Hairston
The Kingdom of Gods, N. K. Jemisin
A Dance with Dragons, George R. R. Martin
The Cold Commands, Richard K. Morgan
Professor Moriarty: The Hound of the D'Urbervilles, Kim Newman
The Book of Transformations, Mark Charan Newton
Mr. Fox, Helen Oyeyemi
The Hammer, K. J. Parker
Snuff, Terry Pratchett
Briarpatch, Tim Pratt
The River of Shadows, Robert V. S. Redick
The Wise Man's Fear, Patrick Rothfuss
Deathless, Catherynne M. Valente
The Folded World, Catherynne M. Valente
Among Others, Jo Walton
Mistification, Kaaron Warren
Abarat: Absolute Midnight, Clive Barker
The Mostly True Story of Jack, Kelly Barnhill
Chime, Franny Billingsley
Red Glove, Holly Black
Beauty Queens, Libba Bray
Eona, Alison Goodman
Twilight Robbery, Frances Hardinge
The Shattering, Karen Healey
Huntress, Malinda Lo
Planesrunner, Ian McDonald
A Monster Calls, Patrick Ness
The Akata Witch, Nnedi Okorafor
Mastiff, Tamora Pierce
Scrivener's Moon, Philip Reeve
Across the Universe, Beth Revis
Miss Peregrine's Home for Peculiar Children, Ransom Riggs
The Freedom Maze, Delia Sherman
The Highest Frontier, Joan Slonczewski
Daughter of Smoke and Bone, Laini Taylor
The Girl Who Circumnavigated Fairyland in a Ship of Her Own Making, Catherynne M. Valente
The Boy at the End of the World, Greg van Eekhout
Goliath, Scott Westerfeld
Across the Great Barrier, Patricia C. Wrede
The Space Between, Brenna Yovanoff
Debris, Jo Anderton
The Girl of Fire and Thorns, Rae Carson
Ready Player One, Ernest Cline
God's War, Kameron Hurley
The Desert of Souls, Howard Andrew Jones
Of Blood and Honey, Stina Leicht
Soft Apocalypse, Will McIntosh
The Night Circus, Erin Morgenstern
The Tiger's Wife, Téa Obreht
Low Town, Daniel Polansky
Mechanique: A Tale of the Circus Tresaulti, Genevieve Valentine
Blood Red Road, Moira Young
Seed, Rob Ziegler
