The Hydrogen Sonata, Iain M. Banks
Bowl of Heaven, Gregory Benford & Larry Niven
Any Day Now, Terry Bisson
Blueprints of the Afterlife, Ryan Boudinot
Arctic Rising, Tobias S. Buckell
Captain Vorpatril's Alliance, Lois Mcmaster Bujold
Intruder, C. J. Cherryh
Caliban's War, James S. A. Corey
The Rapture of the Nerds, Cory Doctorow & Charles Stross
The Eternal Flame, Greg Egan
Angelmaker, Nick Harkaway
Empty Space, M. John Harrison
Rapture, Kameron Hurley
Intrusion, Ken MacLeod
In the Mouth of the Whale, Paul McAuley
Fate of Worlds, Larry Niven & Edward M. Lerner
The Fractal Prince, Hannu Rajaniemi
Blue Remembered Earth, Alastair Reynolds
Jack Glass, Adam Roberts
2312, Kim Stanley Robinson
Turing & Burroughs: A Beatnik SF Novel, Rudy Rucker
Redshirts, John Scalzi
Ashes of Candesce, Karl Schroeder
Lost Everything, Brian Francis Slattery
Slow Apocalypse, John Varley
The Fourth Wall, Walter Jon Williams
The Last Policeman, Ben H. Winters
Whispers Under Ground, Ben Aaronovitch
Red Country, Joe Abercrombie
The King's Blood, Daniel Abraham
The Troupe, Robert Jackson Bennett
Queen's Hunt, Beth Bernobich
The Ruined City, Paula Brandon
The Steel Seraglio, Mike Carey, Linda Carey & Louise Carey
Boneland, Alan Garner
The Killing Moon, N. K. Jemisin
Some Kind of Fairy Tale, Graham Joyce
The Drowning Girl, Caitlín R. Kiernan
Glamour in Glass, Mary Robinette Kowal
And Blue Skies from Pain, Stina Leicht
Bullettime, Nick Mamatas
Sharps, K. J. Parker
Hide Me Among the Graves, Tim Powers
The Mirage, Matt Ruff
The Apocalypse Codex, Charles Stross
Crandolin, Anna Tambour
Worldsoul, Liz Williams
The Drowned Cities, Paolo Bacigalupi
Black Heart, Holly Black
Zeuglodon, James P. Blaylock
The Diviners, Libba Bray
The Crown of Embers, Rae Carson
Bitterblue, Kristin Cashore
Pirate Cinema, Cory Doctorow
Radiant Days, Elizabeth Hand
A Face Like Glass, Frances Hardinge
The Chaos, Nalo Hopkinson
Sea Hearts, Margo Lanagan
Team Human, Justine Larbalestier & Sarah Rees Brennan
Every Day, David Levithan
Son, Lois Lowry
Be My Enemy, Ian McDonald
Railsea, China Miéville
The Broken Lands, Kate Milford
Dodger, Terry Pratchett
Apollo's Outcasts, Allen Steele
The Raven Boys, Maggie Stiefvater
Days of Blood & Starlight, Laini Taylor
The Girl Who Fell Beneath Fairyland and Led the Revels There, Catherynne M. Valente
Throne of the Crescent Moon, Saladin Ahmed
Goblin Secrets, William Alexander
vN, Madeline Ashby
Shadow and Bone, Leigh Bardugo
Charlotte Markham and the House of Darkling, Michael Boccacino
Blackwood, Gwenda Bond
Wide Open, Deborah Coates
Sanctum, Sarah Fine
Bad Glass, Richard E. Gropp
Seraphina, Rachel Hartman
The Snow Child, Eowyn Ivey
Rituals, Roz Kaveney
The Games, Ted Kosmatka
The Man from Primrose Lane, James Renner
Alif the Unseen, G. Willow Wilson
