Finches of Mars, Brian Aldiss
iD: The Second Machine Dynasty, Madeline Ashby
Jupiter War, Neal Asher
MaddAddam, Margaret Atwood
The Last President, John Barnes
Lexicon, Max Barry
Proxima, Stephen Baxter
Protector, C.J. Cherryh
Abaddon's Gate, James S.A. Corey
The Arrows of Time, Greg Egan
The Cusanus Game, Wolfgang Jeschke
The Best of All Possible Worlds, Karen Lord
Evening's Empires, Paul McAuley
The Red: First Light, Linda Nagata
The Adjacent, Christopher Priest
On the Steel Breeze, Alastair Reynolds
Shaman, Kim Stanley Robinson
Neptune's Brood, Charles Stross
Burning Paradise, Robert Charles Wilson
Countdown City, Ben H. Winters
The Tyrant's Law, Daniel Abraham
Life After Life, Kate Atkinson
American Elsewhere, Robert Jackson Bennett
The Shining Girls: A Novel, Lauren Beukes
The Aylesford Skull, James P. Blaylock
London Falling, Paul Cornell
Cold Steel, Kate Elliott
The Ocean at the End of the Lane, Neil Gaiman
NOS4A2, Joe Hill
Sister Mine, Nalo Hopkinson
The Year of the Ladybird, Graham Joyce
Dead Set, Richard Kadrey
River of Stars, Guy Gavriel Kay
Doctor Sleep, Stephen King
Joyland, Stephen King
Wake, Elizabeth Knox
Datura (Or a Delusion We All See), Leena Krohn
The Republic of Thieves, Scott Lynch
The Village Sang to the Sea: A Memoir of Magic, Bruce McAllister
The Scrivener's Tale, Fiona McIntosh
Between Two Thorns, Emma Newman
Anno Dracula 1976-1991: Johnny Alucard, Kim Newman
Red Moon, Benjamin Percy
Raising Steam, Terry Pratchett
The Violent Century, Lavie Tidhar
Blood Oranges, Kathleen Tierney
Necessary Evil, Ian Tregillis
The Land Across, Gene Wolfe
Zombie Baseball Beatdown, Paolo Bacigalupi
Doll Bones, Holly Black
The Coldest Girl in Coldtown, Holly Black
The Woken Gods, Gwenda Bond
The Living, Matt de la Peña
Homeland, Cory Doctorow
The Golden Day, Ursula Dubosarsky
The Lord of Opium, Nancy Farmer
When We Wake, Karen Healey
The Summer Prince, Alaya Dawn Johnson
Mortal Fire, Elizabeth Knox
September Girls, Bennett Madison
Hysteria, Megan Miranda
More Than This, Patrick Ness
The Dream Thieves, Maggie Stiefvater
Burning Sky, Sherry Thomas
The Girl Who Soared Over Fairyland and Cut the Moon in Two, Catherynne M. Valente
The Waking Dark, Robin Wasserman
The Thinking Woman's Guide to Real Magic, Emily Croy Barker
The Golden City, J. Kathleen Cheney
Wolfhound Century, Peter Higgins
Ancillary Justice, Ann Leckie
A Stranger in Olondria, Sofia Samatar
The Age of Ice, J.M. Sidorova
The Golem and the Jinni, Helene Wecker
The Scroll of Years, Chris Willrich
A Questionable Shape, Bennett Sims
