Ultima, Stephen Baxter
War Dogs, Greg Bear
Shipstar, Gregory Benford & Larry Niven
Chimpanzee, Darin Bradley
Cibola Burn, James S.A. Corey
The Book of Strange New Things, Michel Faber
The Peripheral, William Gibson
Afterparty, Daryl Gregory
Work Done for Hire, Joe Haldeman
Tigerman, Nick Harkaway
Europe in Autumn, Dave Hutchinson
Wolves, Simon Ings
Ancillary Sword, Ann Leckie
Artemis Awakening, Jane Lindskold
The Three-Body Problem, Cixin Liu
The Causal Angel, Hannu Rajaniemi
The Memory of Sky, Robert Reed
Bête, Adam Roberts
Lock In, John Scalzi
The Blood of Angels, Johanna Sinisalo
The Bone Clocks, David Mitchell
Lagoon, Nnedi Okorafor
All Those Vanished Engines, Paul Park
Annihilation/Authority/Acceptance, Jeff VanderMeer
Dark Lightning, John Varley
My Real Children, Jo Walton
Echopraxia, Peter Watts
World of Trouble, Ben H. Winters
The Widow's House, Daniel Abraham
The Goblin Emperor, Katherine Addison
Steles of the Sky, Elizabeth Bear
City of Stairs, Robert Jackson Bennett
Hawk, Steven Brust
The Boy Who Drew Monsters, Keith Donohue
Bathing the Lion, Jonathan Carroll
Full Fathom Five, Max Gladstone
The Winter Boy, Sally Wiener Grotta
The Magician's Land, Lev Grossman
Truth and Fear, Peter Higgins
The Mirror Empire, Kameron Hurley
Resurrections, Roz Kaveney
Revival, Stephen King
The Dark Defiles, Richard K. Morgan
The Bees, Laline Paull
The Godless, Ben Peek
Heirs of Grace, Tim Pratt
Beautiful Blood, Lucius Shepard
A Man Lies Dreaming, Lavie Tidhar
The Girls at the Kingfisher Club, Genevieve Valentine
California Bones, Greg van Eekhout
Half a King, Joe Abercrombie
Ruin and Rising, Leigh Bardugo
Girl on a Wire, Gwenda Bond
The Doubt Factory, Paolo Bacigalupi
Waistcoats & Weaponry, Gail Carriger
Exo, Steven Gould
Cuckoo Song, Frances Hardinge
The Grasshopper's Child, Gwyneth Jones
Memory of Water, Emmi Itäranta
Love Is the Drug, Alaya Dawn Johnson
Empress of the Sun, Ian McDonald
Greenglass House, Kate Milford
Clariel, Garth Nix
The Child Eater, Rachel Pollack
Lockstep, Karl Schroeder
Blue Lily, Lily Blue, Maggie Stiefvater
Dreams of Gods & Monsters, Laini Taylor
Afterworlds, Scott Westerfeld
The Race, Nina Allan
Elysium, Jennifer Marie Brissett
The Girl in the Road, Monica Byrne
A Darkling Sea, James L. Cambias
The Clockwork Dagger, Beth Cato
Unwrapped Sky, Rjurik Davidson
Otherbound, Corinne Duyvis
The Angel of Losses, Stephanie Feldman
The Memory Garden, Mary Rickert
The Emperor's Blades, Brian Staveley
The Stone Boatmen, Sarah Tolmie
