The Water Knife, Paolo Bacigalupi
Clade, James Bradley
The Darkside War, Zachary Brown
Corsair, James L. Cambias
Tracker, C.J. Cherryh
Nemesis Games, James S.A. Corey
Dark Orbit, Carolyn Ives Gilman
Weighing Shadows, Lisa Goldstein
Europe at Midnight, Dave Hutchinson
Ancillary Mercy, Ann Leckie
The Dark Forest, Cixin Liu
Luna: New Moon, Ian McDonald
Galapagos Regained, James Morrow
Going Dark, Linda Nagata
Planetfall, Emma Newman
The Book of Phoenix, Nnedi Okorafor
Where, Kit Reed
Poseidon's Wake, Alastair Reynolds
The Thing Itself, Adam Roberts
Aurora, Kim Stanley Robinson
Glorious Angels, Justina Robson
Regeneration, Stephanie Saulter
The End of All Things, John Scalzi
Seveneves, Neal Stephenson
Chasing the Phoenix, Michael Swanwick
Radiance, Catherynne M. Valente
Persona, Genevieve Valentine
A Borrowed Man, Gene Wolfe
Foxglove Summer, Ben Aaronovitch
A God in Ruins, Kate Atkinson
Karen Memory, Elizabeth Bear
Nightwise, R.S. Belcher
Beneath London, James P. Blaylock
The House of Shattered Wings, Aliette de Bodard
Prodigies, Angelica Gorodischer
Wylding Hall, Elizabeth Hand
Empire Ascendant, Kameron Hurley
The Buried Giant, Kazuo Ishiguro
The Liminal War, Ayize Jama-Everett
The Fifth Season, N.K. Jemisin
Killing Pretty, Richard Kadrey
Finders Keepers, Stephen King
Archivist Wasp, Nicole Kornher-Stace
Slade House, David Mitchell
Uprooted, Naomi Novik
Savages, K.J. Parker
The Annihilation Score, Charles Stross
Pacific Fire, Greg Van Eekhout
The Philosopher Kings, Jo Walton
Half a War, Joe Abercrombie
Half the World, Joe Abercrombie
Six of Crows, Leigh Bardugo
Wonders of the Invisible World, Christopher Barzak
The Darkest Part of the Forest, Holly Black
Lair of Dreams, Libba Bray
Harrison Squared, Daryl Gregory
The Lie Tree, Francis Hardinge
Magonia, Maria Dahvana Headley
Shadowshaper, Daniel José Older
The Shepherd's Crown, Terry Pratchett
The Deep Woods, Tim Pratt
Railhead, Phillip Reeve
Carry On, Rainbow Rowell
Bone Gap, Laura Ruby
Nimona, Noelle Stevenson
The Walls Around Us, Nova Ren Suma
Zeroes, Scott Westerfeld, Margo Lanagan & Deborah Biancotti
Hollowgirl, Sean Williams
Sorcerer to the Crown, Zen Cho
The Devourers, Indra Das
The Traitor Baru Cormorant, Seth Dickinson
Flesh & Wires, Jackie Hatton
The Grace of Kings, Ken Liu
The Weave, Nancy Jane Moore
Signal to Noise, Silvia Moreno-Garcia
Last Song Before Night, Ilana C. Myer
The Watchmaker of Filigree Street, Natasha Pulley
Archangel, Marguerite Reed
Vermilion, Molly Tanzer
Abomination, Gary Whitta
The Sorcerer of the Wildeeps, Kai Ashante Wilson
