Company Town, Madeline Ashby
The Medusa Chronicles, Stephen Baxter & Alastair Reynolds
Take Back the Sky, Greg Bear
Visitor, C.J. Cherryh
Babylon's Ashes, James S.A. Corey
Europe in Winter, Dave Hutchinson
False Hearts, Laura Lam
Death's End, Cixin Liu
The Corporation Wars: Dissidence, Ken MacLeod
Into Everywhere, Paul McAuley
Faller, Will McIntosh
After Atlas, Emma Newman
The Core of the Sun, Johanna Sinisalo
Occupy Me, Tricia Sullivan
Rosewater, Tade Thompson
Central Station, Lavie Tidhar
Icon, Genevieve Valentine
The Underground Railroad, Colson Whitehead
Alien Morning, Rick Wilber
Impersonations, Walter Jon Williams
Last Year, Robert Charles Wilson
Barren Cove, Ariel S. Winter
Underground Airlines, Ben H. Winters
The Spider's War, Daniel Abraham
All the Birds in the Sky, Charlie Jane Anders
Summerlong, Peter S. Beagle
City of Blades, Robert Jackson Bennett
Masks and Shadows, Stephanie Burgis
Breath of Earth, Beth Cato
A Shadow All of Light, Fred Chappell
Who Killed Sherlock Holmes?, Paul Cornell
Four Roads Cross, Max Gladstone
The Regional Office is Under Attack!, Manuel Gonzales
Will Do Magic for Small Change, Andrea Hairston
Eterna and Omega, Leanna Renee Hieber
Roadsouls, Betsy James
The Obelisk Gate, N.K. Jemisin
The Perdition Score, Richard Kadrey
Children of Earth and Sky, Guy Gavriel Kay
The Wall of Storms, Ken Liu
The Seer, Sonia Orin Lyris
Kingfisher, Patricia McKillip
An Accident of Stars, Foz Meadows
The Last Days of New Paris, China Miéville
Medusa's Web, Tim Powers
The Gradual, Christopher Priest
The Winged Histories, Sofia Samatar
The Trees, Ali Shaw
The Last Mortal Bond, Brian Staveley
The Nightmare Stacks, Charles Stross
The Liberation, Ian Tregillis
Necessity, Jo Walton
Cloudbound, Fran Wilde
The Brotherhood of the Wheel, R.S. Belcher
Fellside, M.R. Carey
The Wretch of the Sun, Michael Cisco
The Fireman, Joe Hill
Good Girls, Glen Hirshberg
Mongrels, Stephen Graham Jones
The Fisherman, John Langan
Certain Dark Things, Silvia Moreno-Garcia
HEX, Thomas Olde Heuvelt
The Family Plot, Cherie Priest
Lovecraft Country, Matt Ruff
Disappearance at Devil's Rock, Paul Tremblay
The Rose & the Dagger, Renée Ahdieh
Crooked Kingdom, Leigh Bardugo
The Girl Who Drank the Moon, Kelly Barnhill
The Bronze Key, Holly Black & Cassandra Clare
Three Dark Crowns, Kendare Blake
Lois Lane: Double Down, Gwenda Bond
The Swan Riders, Erin Bow
Labyrinth Lost, Zoraida Cordóva
Truthwitch, Susan Dennard
Poisoned Blade, Kate Elliott
Blood for Blood, Ryan Graudin
Aerie, Maria Dahvana Headley
Gemina, Amie Kaufman & Jay Kristoff
Rebellion of Thieves, Kekla Magoon
Burning Midnight, Will McIntosh
When the Moon Was Ours, Anna-Marie McLemore
The Left-Handed Fate, Kate Milford
Goldenhand, Garth Nix
Revenger, Alastair Reynolds
Rocks Fall, Everyone Dies, Lindsay Ribar
This Savage Song, Victoria Schwab
The Evil Wizard Smallbone, Delia Sherman
And I Darken, Kiersten White
The Steep and Thorny Way, Cat Winters
The Reader, Traci Chee
Waypoint Kangaroo, Curtis Chen
The Star-Touched Queen, Roshani Chokshi
The Girl from Everywhere, Heidi Heilig
Roses and Rot, Kat Howard
Ninefox Gambit, Yoon Ha Lee
Arabella of Mars, David D. Levine
A Fierce and Subtle Poison, Samantha Mabry
Devil and the Bluebird, Jennifer Mason-Black
Infomocracy, Malka Older
Everfair, Nisi Shawl
Vigil, Angela Slatter
Azanian Bridges, Nick Wood
