The Rift, Nina Allan
The Massacre of Mankind, Stephen Baxter
The Berlin Project, Gregory Benford
Persepolis Rising, James S.A. Corey
Walkaway, Cory Doctorow
Gnomon, Nick Harkaway
The Stars Are Legion, Kameron Hurley
Mother Go, James Patrick Kelly
The Moon and the Other, John Kessel
Tomorrow's Kin, Nancy Kress
Shattered Minds, Laura Lam
Provenance, Ann Leckie
Raven Stratagem, Yoon Ha Lee
The Corporation Wars: Emergence, Ken MacLeod
Austral, Paul McAuley
Luna: Wolf Moon, Ian McDonald
The Last Good Man, Linda Nagata
Null States, Malka Older
Seven Surrenders, Ada Palmer
The Wrong Stars, Tim Pratt
From the Wreck, Jane Rawson
The Real-Town Murders, Adam Roberts
New York 2140, Kim Stanley Robinson
The Collapsing Empire, John Scalzi
Sourdough, Robin Sloan
Empire Games, Charles Stross
Borne, Jeff VanderMeer
Bannerless, Carrie Vaughn
The Stone in the Skull, Elizabeth Bear
City of Miracles, Robert Jackson Bennett
Ka: Dar Oakley in the Ruin of Ymr, John Crowley
The House of Binding Thorns, Aliette de Bodard
The Ruin of Angels, Max Gladstone
Spoonbenders, Daryl Gregory
Exit West, Mohsin Hamid
An Unkindness of Magicians, Kat Howard
The Stone Sky, N.K. Jemisin
The River Bank, Kij Johnson
Jade City, Fonda Lee
Blackthorne, Stina Leicht
A Tyranny of Queens, Foz Meadows
The Beautiful Ones, Silvia Moreno-Garcia
Corpselight, Angela Slatter
The Delirium Brief, Charles Stross
Fair Rebel, Steph Swainston
Creatures of Will and Temper, Molly Tanzer
Horizon, Fran Wilde
The Heart of What Was Lost, Tad Williams
Quillifer, Walter Jon Williams
Ill Will, Dan Chaon
Universal Harvester, John Darnielle
After the End of the World, Jonathan L. Howard
The Grip of It, Jac Jemc
Food of the Gods, Cassandra Khaw
The Night Ocean, Paul La Farge
The Changeling, Victor LaValle
Red Snow, Ian R. MacLeod
Under a Watchful Eye, Adam Nevill
The Dark Net, Benjamin Percy
Behind Her Eyes, Sarah Pinborough
Mormama, Kit Reed
Ubo, Steve Rasnic Tem
Tool of War, Paolo Bacigalupi
One Dark Throne, Kendare Blake
The Silent Invasion, James Bradley
Before the Devil Breaks You, Libba Bray
In Other Lands, Sarah Rees Brennan
The Dragon with a Chocolate Heart, Stephanie Burgis
Jane, Unlimited, Kristin Cashore
Chalk, Paul Cornell
Sovereign, April Daniels
Buried Heart, Kate Elliott
A Skinful of Shadows, Frances Hardinge
The Ship Beyond Time, Heidi Heilig
The November Girl, Lydia Kang
Wild Beauty, Anna-Marie McLemore
Ghosts of Greenglass House, Kate Milford
Frogkisser!, Garth Nix
Akata Warrior, Nnedi Okorafor
Shadowhouse Fall, Daniel José Older
Want, Cindy Pon
The Book of Dust: La Belle Sauvage, Philip Pullman
Black Light Express, Philip Reeve
Now I Rise, Kiersten White
The Bear and the Nightingale, Katherine Arden
The Guns Above, Robyn Bennis
Tropic of Kansas, Christopher Brown
The City of Brass, S.A. Chakraborty
An Alchemy of Masques and Mirrors, Curtis Craddock
Dreadnought, April Daniels
Forest of a Thousand Lanterns, Julie C. Dao
Amberlough, Lara Elena Donnelly
The Prey of Gods, Nicky Drayden
Winter Tide, Ruthanna Emrys
The Strange Case of the Alchemist's Daughter, Theodora Goss
Wintersong, S. Jae-Jones
An Excess Male, Maggie Shen King
Weave a Circle Round, Kari Maaren
All Our Wrong Todays, Elan Mastai
The Art of Starving, Sam J. Miller
Autonomous, Annalee Newitz
The Tiger's Daughter, K Arsenault Rivera
Lincoln in the Bardo, George Saunders
An Unkindness of Ghosts, Rivers Solomon
Lotus Blue, Cat Sparks
Barbary Station, R.E. Stearns
Amatka, Karin Tidbeck
