    Mage of Fools, Eugen Bacon (Meerkat)
    The Thousand Earths, Stephen Baxter (Gollancz)
    Sweep of Stars, Maurice Broaddus (Tor)
    The Red Scholar’s Wake, Aliette de Bodard (Gollancz; JABberwocky)
    The Candy House, Jennifer Egan (Scribner; Corsair)
    A Half-Built Garden, Ruthanna Emrys (Tordotcom)
    The Paradox Hotel, Rob Hart (Ballantine)
    Cold Water, Dave Hutchinson (Solaris UK)
    The Moonday Letters, Emmi Itäranta (Titan UK)
    Dark Factory, Kathe Koja (Meerkat)
    The Spare Man, Mary Robinette Kowal (Tor; Solaris UK)
    Ymir, Rich Larson (Orbit US)
    Sea of Tranquility, Emily St. John Mandel (Knopf; Picador; HarperCollins Canada)
    Beyond the Burn Line, Paul McAuley (Gollancz)
    The Daughter of Doctor Moreau, Silvia Moreno-Garcia (Del Rey; Jo Fletcher)
    Needle, Linda Nagata (Mythic Island)
    51, Patrick O’Leary (Tachyon)
    Goliath, Tochi Onyebuchi (Tordotcom)
    Prison of Sleep, Tim Pratt (Angry Robot UK)
    Expect Me Tomorrow, Christopher Priest (Gollancz)
    Eversion, Alastair Reynolds (Gollancz; Orbit US)
    The This, Adam Roberts (Gollancz)
    The Kaiju Preservation Society, John Scalzi (Tor; Tor UK)
    Eyes of the Void, Adrian Tchaikovsky (Tor UK; Orbit US)
    Neom, Lavie Tidhar (Tachyon)
    Fault Tolerance, Valerie Valdes (Harper Voyager US)
    Wayward, Chuck Wendig (Del Rey; Del Rey UK)
    Imperium Restored, Walter Jon Williams (Harper Voyager US)
    Age of Ash, Daniel Abraham (Orbit US; Orbit UK)
    The Grief of Stones, Katherine Addison (Tor; Solaris UK)
    When Women Were Dragons, Kelly Barnhill (Doubleday; Hot Key)
    The Origin of Storms, Elizabeth Bear (Tor)
    Book of Night, Holly Black (Tor; Del Rey UK)
    Saint Death’s Daughter, C.S.E. Cooney (Solaris)
    Flint and Mirror, John Crowley (Tor)
    Aspects, John M. Ford (Tor; Gateway)
    Last Exit, Max Gladstone (Tor; Titan UK)
    Spear, Nicola Griffith (Tordotcom)
    Hokuloa Road, Elizabeth Hand (Mulholland)
    The Embroidered Book, Kate Heartfield (Harper Voyager UK)
    Moon Witch, Spider King, Marlon James (Riverhead; Hamish Hamilton)
    The World We Make, N.K. Jemisin (Orbit US; Orbit UK)
    The Spear Cuts Through Water, Simon Jimenez (Del Rey)
    All the Seas of the World, Guy Gavriel Kay (Hodder & Stoughton; Berkley; Viking Canada)
    Nettle & Bone, T. Kingfisher (Tor; Titan UK)
    Babel, R.F. Kuang (Harper Voyager US; Harper Voyager UK)
    Nona the Ninth, Tamsyn Muir (Tordotcom)
    The Golden Enclaves, Naomi Novik (Del Rey US; Del Rey UK)
    Malarkoi, Alex Pheby (Galley Beggar; Tor ’23)
    Fevered Star, Rebecca Roanhorse (Saga; Solaris UK)
    The Cartographers, Peng Shepherd (Orion; Morrow)
    The Path of Thorns, A.G. Slatter (Titan)
    The Oleander Sword, Tasha Suri (Orbit US; Orbit UK)
    Siren Queen, Nghi Vo (Tordotcom)
    The Silverberg Business, Robert Freeman Wexler (Small Beer)
    Embertide, Liz Williams (NewCon)
    Saturnalia, Stephanie Feldman (Unnamed)
    Just Like Home, Sarah Gailey (Tor; Hodder & Stoughton)
    Road of Bones, Christopher Golden (St. Martin’s; Titan UK)
    House of Hunger, Alexis Henderson (Ace; Bantam UK)
    Motherthing, Ainslie Hogarth (Vintage; Atlantic Books UK)
    The Devil Takes You Home, Gabino Iglesias (Mulholland; Wildfire)
    The Fervor, Alma Katsu (Putnam; Titan)
    Gwendy’s Final Task, Stephen King & Richard Chizmar (Cemetery Dance; Hodder & Stoughton)
    What Moves the Dead, T. Kingfisher (Nightfire; Titan UK)
    The Last Storm, Tim Lebbon (Titan)
    Lapvona, Ottessa Moshfegh (Penguin; Jonathan Cape)
    Echo, Thomas Olde Heuvelt (Nightfire; Hodder & Stoughton)
    No Gods for Drowning, Hailey Piper (Agora)
    Hidden Pictures, Jason Rekulak (Flatiron; Sphere)
    The Pallbearers Club, Paul Tremblay (Morrow; Titan UK)
    Sundial, Catriona Ward (Nightfire; Viper)
    Dreams Bigger Than Heartbreak, Charlie Jane Anders (Tor Teen; Titan UK)
    This Wicked Fate, Kalynn Bayron (Bloomsbury USA; Bloomsbury)
    The Scratch Daughters, H.A. Clarke (Erewhon)
    Bloodmarked, Tracy Deonn (McElderry; Simon & Schuster UK)
    The Kindred, Alechia Dow (Inkyard)
    The Fae Keeper, H.E. Edgmon (Inkyard)
    Bitter, Akwaeke Emezi (Knopf; Faber & Faber)
    The Merciless Ones, Namina Forna (Delacorte; Usborne)
    Unraveller, Frances Hardinge (Macmillan; Amulet 1/23)
    Rust in the Root, Justina Ireland (Balzer + Bray)
    The Honeys, Ryan La Sala (PUSH; Scholastic UK)
    Lakelore, Anna-Marie McLemore (Feiwel and Friends)
    Fraternity, Andy Mientus (Amulet)
    Ballad & Dagger, Daniel José Older (Hyperion)
    An Arrow to the Moon, Emily X.R. Pan (Little, Brown; Orion)
    From Dust, a Flame, Rebecca Podos (Balzer + Bray)
    Fire Becomes Her, Rosiee Thor (Scholastic; Scholastic UK)
    Patricia Wants to Cuddle, Samantha Allen (Zando)
    Our Wives Under the Sea, Julia Armfield (Picador; Flatiron)
    Legends & Lattes, Travis Baldree (Cryptid; Tor)
