Sunward, William Alexander
Dark Diamond, Neal Asher
The King Must Die, Kemi Ashing-Giwa
The Folded Sky, Elizabeth Bear
Landfall, James Bradley
Outlaw Planet, M.R. Carey
Moderation, Elaine Castillo
The Book of Guilt, Catherine Chidgey
Picks & Shovels, Cory Doctorow
Notes from a Regicide, Isaac Fellman
When We Were Real, Daryl Gregory
The Essence, Dave Hutchinson
The Dream Hotel, Laila Lalami
Transmentation | Transience, Darkly Lem
All That We See or Seem, Ken Liu
Metallic Realms, Lincoln Michel
Red Star Hustle, Sam J. Miller
Where the Axe Is Buried, Ray Nayler
Slow Gods, Claire North
Death of the Author, Nnedi Okorafor
Esperance, Adam Oyebanji
Halcyon Years, Alastair Reynolds
The Shattering Peace, John Scalzi
When There Are Wolves Again, E.J. Swift
We Lived on the Horizon, Erika Swyler
Shroud, Adrian Tchaikovsky
The Book of Records, Madeleine Thien
A Philosophy of Thieves, Fran Wilde
Hole in the Sky, Daniel H. Wilson
The Salt Oracle, Lorraine Wilson
The Devils, Joe Abercrombie
The Tomb of Dragons, Katherine Addison
A Granite Silence, Nina Allan
Lessons in Magic and Disaster, Charlie Jane Anders
Angel Maker, Elizabeth Bear
A Drop of Corruption, Robert Jackson Bennett
Once Was Willem, M.R. Carey
The Sovereign, C.L. Clark
The Works of Vermin, Hiron Ennes
Dead Hand Rule, Max Gladstone
The Everlasting, Alix E. Harrow
The Raven Scholar, Antonia Hodgson
Secrets of the First School, T.L. Huchu
Honeyeater, Kathleen Jennings
Written on the Dark, Guy Gavriel Kay
Hemlock & Silver, T. Kingfisher
Snake-Eater, T. Kingfisher
Katabasis, R.F. Kuang
The Adventures of Mary Darling, Pat Murphy
One Way Witch, Nnedi Okorafor
Harmattan Season, Tochi Onyebuchi
Waterblack, Alex Pheby
Major Arcana, John Pistelli
The Rose Field, Philip Pullman
Shadow Ticket, Thomas Pynchon
The Isle in the Silver Sea, Tasha Suri
The Incandescent, Emily Tesh
Queen Demon, Martha Wells
We Love You, Bunny, Mona Awad
The Possession of Alba Díaz, Isabel Cañas
Black Brane, Michael Cisco
Spread Me, Sarah Gailey
The Needfire, MK Hardy
King Sorrow, Joe Hill
The Buffalo Hunter Hunter, Stephen Graham Jones
The Library at Hellebore, Cassandra Khaw
Never Flinch, Stephen King
The Bewitching, Silvia Moreno-Garcia
It Was Her House First, Cherie Priest
Animals, Geoff Ryman
The Crimson Road, A.G. Slatter
The Staircase in the Woods, Chuck Wendig
The Singular Life of Aria Patel, Samira Ahmed
Make Me a Monster, Kalynn Bayron
Costumes for Time Travelers, A.R. Capetta
The Executioners Three, Susan Dennard
Needy Little Things, Channelle Desamours
The Underwood Tapes, Amanda DeWitt
Among Ghosts, Rachel Hartman
Sky on Fire, E.K. Johnston
The Transition, Logan-Ashley Kisner
Starstrike, Yoon Ha Lee
I Am Not Jessica Chen, Ann Liang
The Leaving Room, Amber McBride
Night Swimming, Aaron Starmer
They Bloom at Night, Trang Thanh Tran
A Song of Legends Lost, M.H. Ayinde
Acts of God, Kanan Gill
Red Rabbit Ghost, Jen Julian
When Devils Sing, Xan Kaur
Dwelling, Emily Hunt Kivel
Awake in the Floating City, Susanna Kwan
Luminous, Silvia Park
Archive of Unknown Universes, Ruben Reyes Jr.
North Sun, Or The Voyage of the Whaleship Esther, Ethan Rutherford
Nothing in the Basement, Romie Stott
Blob, Maggie Su
Song of Spores, Bogi Takács
Sour Cherry, Natalia Theodoridou
On the Calculation of Volume III, Solvej Balle
The Unworthy, Agustina Bazterrica
The Village at the Edge of Noon, Darya Bobyleva
The Midnight Shift, Cheon Seon-Ran
A Thousand Blues, Cheon Seon-Ran
Red Sword, Bora Chung
The Midnight Timetable, Bora Chung
Ice, Jacek Dukaj
School of Shards, Marina & Sergey Dyachenko
Dead Souls, Han Song
The Place of Shells, Mai Ishizawa
We Computers, Hamid Ismailov
Blood for the Undying Throne, Sung-il Kim
Artificial Truth, J.M. Lee
Sea Now, Eva Meijer
Vanishing World, Sayaka Murata
Dengue Boy, Michel Nieva
Into the Sun, C.F. Ramuz
The Wax Child, Olga Ravn
The Orb of Cairado, Katherine Addison
The Iron Below Remembers, Sharang Biswas
The Adventure of the Demonic Ox, Lois McMaster Bujold
Redundancies and Potentials, Dominique Dickey
No Such Thing as Duty, Lara Elena Donnelly
The River Has Roots, Amal El-Mohtar
What Stalks the Deep, T. Kingfisher
Apprehension, Mary Robinette Kowal
The Death of Mountains, Jordan Kurella
The Dead Withheld, L.D. Lewis
Cinder House, Freya Marske
Automatic Noodle, Annalee Newitz
Starstruck, Aimee Ogden
Making History, K.J. Parker
But Not Too Bold, Hache Pueyo
The Dagger in Vichy, Alastair Reynolds
Psychopomp & Circumstance, Eden Royce
No One To Hold the Distant Dead, K.L. Schroeder
The Oblivion Bride, Caitlin Starling
Lives of Bitter Rain, Adrian Tchaikovsky
A Mouthful of Dust, Nghi Vo
Don't Sleep with the Dead, Nghi Vo
Murder by Memory, Olivia Waite
Brighter than Scale, Swifter than Flame, Neon Yang
