0,4.18,Record of a Spaceborn Few, Becky Chambers ,Becky Chambers,2018
1,4.37,Emergence, C.J. Cherryh ,failed-author,failed-date
2,3.5,Chercher La Femme, L. Timmel Duchamp ,failed-author,failed-date
3,4.14,Europe at Dawn, Dave Hutchinson ,failed-author,failed-date
4,3.73,Shelter, Dave Hutchinson ,Jung Yun,2016
5,3.56,Pride and Prometheus, John Kessel ,John Kessel,2008
6,4.21,The Calculating Stars, Mary Robinette Kowal ,Mary Robinette Kowal,2018
7,4.03,If Tomorrow Comes, Nancy Kress ,Sidney Sheldon,1985
8,4.21,Revenant Gun, Yoon Ha Lee ,Yoon Ha Lee,2018
9,3.63,Blackfish City, Sam J. Miller ,Sam J. Miller,2018
10,4.00,Embers of War, Gareth L. Powell ,Gareth L. Powell,2018
11,4.22,The Overstory, Richard Powers ,Richard Powers,2018
12,3.98,The Dreaming Stars, Tim Pratt ,Tim Pratt,2018
13,4.13,An American Story, Christopher Priest ,Amy Goldstein,2017
14,4.06,Elysium Fire, Alastair Reynolds ,failed-author,failed-date
15,3.91,By the Pricking of Her Thumb, Adam Roberts ,Adam Roberts,2018
16,3.79,Red Moon, Kim Stanley Robinson ,Elizabeth   Kelly,2013
17,4.09,Theory of Bastards, Audrey Schulman ,Audrey Schulman,2018
18,3.30,The Sky Is Yours, Chandler Klang Smith ,Chandler Klang Smith,2018
19,3.86,Unholy Land, Lavie Tidhar ,Lavie Tidhar,2018
20,3.56,Space Opera, Catherynne M. Valente ,Catherynne M. Valente,2018
21,3.94,Irontown Blues, John Varley ,John Varley,2018
22,3.92,The Wild Dead, Carrie Vaughn ,Carrie Vaughn,2018
23,3.95,The Accidental War, Walter Jon Williams ,Walter Jon Williams,2018
24,3.58,Condomnauts, Yoss ,Yoss,2018
25,4.29,Lies Sleeping, Ben Aaronovitch ,Ben Aaronovitch,2018
26,4.32,Foundryside, Robert Jackson Bennett ,failed-author,failed-date
27,3.96,The Monster Baru Cormorant, Seth Dickinson ,failed-author,failed-date
28,3.58,Temper, Nicky Drayden ,Nicky Drayden,2018
29,3.60,Murmur, Will Eaves ,Carly Anne West,2013
30,4.10,Deep Roots, Ruthanna Emrys ,failed-author,failed-date
31,3.66,Ahab’s Return, Jeffrey Ford ,Jeffrey Ford,2018
32,3.93,Red Waters Rising, Laura Anne Gilman ,Laura Anne Gilman,2018
33,4.02,European Travel for the Monstrous Gentlewoman, Theodora Goss ,Theodora Goss,2018
34,4.04,The Mere Wife, Maria Dahvana Headley ,Maria Dahvana Headley,2018
35,4.35,The Wonder Engine, T. Kingfisher ,failed-author,failed-date
36,3.67,Latchkey, Nicole Kornher-Stace ,Steven Savile,2013
37,3.48,Fire Dance, Ilana C. Myer ,Delle Jacobs,2007
38,4.30,Spinning Silver, Naomi Novik ,Naomi Novik,2018
39,3.56,Melmoth, Sarah Perry ,Sarah Perry,2018
40,3.86,Summerland, Hannu Rajaniemi ,Elin Hilderbrand,2012
41,3.93,The Phoenix Empress, K Arsenault Rivera ,K. Arsenault Rivera,2018
42,3.65,Salvation’s Fire, Justina Robson ,Justina Robson,2018
43,3.52,Frankenstein in Baghdad, Ahmed Saadawi ,Ahmed Saadawi,2018
44,4.23,Dreadful Company, Vivian Shaw ,Vivian Shaw,2018
45,3.70,Creatures of Want and Ruin, Molly Tanzer ,Molly Tanzer,2018
46,3.56,In the Night Wood, Dale Bailey ,Dale Bailey,2018
47,4.63,Unlanguage, Michael Cisco ,failed-author,failed-date
48,3.56,The Book of Hidden Things, Francesco Dimitri ,Francesco Dimitri,2018
49,3.98,We Sold Our Souls, Grady Hendrix ,failed-author,failed-date
50,4.34,The Immaculate Void, Brian Hodge ,Brian Hodge,2018
51,2.71,Coyote Songs, Gabino Iglesias ,Gail Anderson-Dargatz,2012
52,3.29,Riddance, Shelley Jackson ,Elinor Lipman,2019
53,4.33,The Hunger, Alma Katsu ,Suzanne Collins,2008
54,3.99,Providence, Caroline Kepnes ,Jamie McGuire,2010
55,4.08,The Outsider, Stephen King ,S.E. Hinton,1997
56,4.11,The Listener, Robert McCammon ,Robert R. McCammon,2018
57,3.70,Cross Her Heart, Sarah Pinborough ,Sarah Pinborough,2018
58,3.35,The Cabin at the End of the World, Paul Tremblay ,Paul Tremblay,2018
59,4.20,Tide of Stone, Kaaron Warren ,failed-author,failed-date
